Date,Amount,Merchant,Category,,,
6/27/2023,6.48,MOCHINUT 0001       NEW YORK            NY,Restaurant-Restaurant,,,
6/27/2023,41.32,SAN MARZANO         New York            NY,Restaurant-Restaurant,,,
6/27/2023,20.37,VAN LEEUWEN ICE CREABrooklyn            NY,Restaurant-Restaurant,,,
6/26/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/26/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/26/2023,15,BROOKLYN HARVEST MARBRROKLYN            NY,Merchandise & Supplies-Groceries,,,
6/26/2023,53.18,PP*ATITHI INDIAN CUIELMHURST            NY,Restaurant-Restaurant,,,
6/26/2023,13.07,UBER EATS           help.uber.com       CA,Restaurant-Restaurant,,,
6/25/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/25/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/25/2023,26.83,SUPERIORITY BURGER  New York            NY,Restaurant-Restaurant,,,
6/24/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/24/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/24/2023,2.75,AplPay NYCT PAYGO   NEW YORK            NY,Transportation-Rail Services,,,
6/24/2023,28.16,BIKE RENTAL CENTRAL New York            NY,Entertainment-General Attractions,,,
6/24/2023,11.71,CENTRAL PARK CAFE   New York            NY,Restaurant-Bar & Café,,,
6/24/2023,248.2,DELTA AIR LINES     ATLANTA,Travel-Airline,,,
6/24/2023,39.15,TST* THE GRAHAM 3006BROOKLYN            NY,Restaurant-Bar & Café,,,
6/23/2023,12,METROCARD/AIRTRAIN  NEW YORK            NY,Transportation-Rail Services,,,
6/23/2023,12,POINT.ME            NEW YORK            NY,Travel-Lodging,,,
6/23/2023,10,SKIPLAGGED*CYZX7J   NEW YORK            NY,Travel-Travel Agencies,,,
6/23/2023,10,SKIPLAGGED*GT6SOG   NEW YORK            NY,Travel-Travel Agencies,,,
6/23/2023,248.2,UNITED AIRLINES     HOUSTON             TX,Travel-Airline,,,
6/21/2023,10.81,BAKERS - 148 0000000RIVERSIDE           CA,Restaurant-Bar & Café,,,
6/21/2023,4.49,YOGURTLAND CA231 000FONTANA             CA,Restaurant-Bar & Café,,,
6/19/2023,14.99,PAYPAL *STEAM GAMES 4259522985          WA,Merchandise & Supplies-General Retail,,,
6/17/2023,-977.4,AUTOPAY PAYMENT - THANK YOU,,,,
6/17/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
6/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
6/17/2023,32.84,DIMASSI?S CERRITOS  Cerritos            CA,Restaurant-Restaurant,,,
6/17/2023,29.4,TST* PAUL'S COCKTAILORANGE              CA,Restaurant-Bar & Café,,,
6/17/2023,7.82,UBER EATS           help.uber.com       CA,Restaurant-Restaurant,,,
6/15/2023,135.7,VUELING AIRLINES SA BARCELONA           ES,Travel-Airline,,,
6/13/2023,-50,RECREATION.GOV 00000ALBUQUERQUE         NM,Other-Government Services,,,
6/11/2023,6.75,HAPPY PINKBERRY 0001CORONA              CA,Other-Miscellaneous,,,
6/11/2023,30.87,ROCK & BREWS CORONA CORONA              CA,Restaurant-Restaurant,,,
6/10/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
6/9/2023,50.18,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
6/7/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
6/5/2023,4.27,TARGET        026328CULVER CITY         CA,Merchandise & Supplies-Wholesale Stores,,,
6/4/2023,90.23,HRBOR FREIGHT TOOLS RIVERSIDE           CA,Merchandise & Supplies-Hardware Supplies,,,
6/4/2023,4.88,P.S. I CREPE YOU 000RIVERSIDE           CA,Restaurant-Restaurant,,,
6/3/2023,15.71,GRUBHUB*THEFLAMEBROINEW YORK            NY,Restaurant-Restaurant,,,
5/31/2023,50.66,GRAMS BBQ 0000      RIVERSIDE           CA,Restaurant-Restaurant,,,
5/30/2023,11.8,MCDONALDS FIL. 1622 FRANKFURT           DE,Restaurant-Bar & Café,,,
5/30/2023,5.37,T-MOBILE HOTSPOT DT.BONN                DE,Communications-Telephone Comm,,,
5/29/2023,6.5,AplPay AIRALO       SINGAPORE           SG,Business Services-Internet Services,,,
5/26/2023,19,AplPay PADDLE.NET* SASTORIA             NY,Merchandise & Supplies-Internet Purchase,,,
5/25/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
5/25/2023,108.98,AplPay FLIXBUS.COM  LOS ANGELES,Travel-Travel Agencies,,,
5/24/2023,30.6,AplPay TFL TRAVEL CHTFL.GOV.UK/CP       GB,Transportation-Other Transportation,,,
5/23/2023,13.85,AplPay AIRALO       SINGAPORE           SG,Business Services-Internet Services,,,
5/23/2023,3.86,AplPay ETSY.COM     NEW YORK,Merchandise & Supplies-Internet Purchase,,,
5/23/2023,31.1,PAYPAL *HEATHROWEXP 07711126558         GB,Transportation-Other Transportation,,,
5/23/2023,12,POINT.ME            NEW YORK            NY,Travel-Lodging,,,
5/20/2023,6.3,ARCO #42511 ARCO4251LOS ANGELES         CA,Transportation-Fuel,,,
5/20/2023,19,AplPay PADDLE.NET* SASTORIA             NY,Merchandise & Supplies-Internet Purchase,,,
5/20/2023,60.06,TST* ALL TIME 000282LOS ANGELES         CA,Other-Miscellaneous,,,
5/20/2023,10.77,TST* HIGH HORSE SALOFULLERTON           CA,Other-Miscellaneous,,,
5/20/2023,21.32,TST* HIGH HORSE SALOFULLERTON           CA,Other-Miscellaneous,,,
5/20/2023,5,ZIINGS 0217700217839FULLERTON           CA,Restaurant-Restaurant,,,
5/19/2023,10.2,HOPSCOTCH TAVERN    FULLERTON           CA,Restaurant-Bar & Café,,,
5/19/2023,57.01,SHAREGRID.COM       BURBANK             CA,Business Services-Printing & Publishing,,,
5/19/2023,2.38,STARBUCKS STORE 1048ANAHEIM             CA,Restaurant-Bar & Café,,,
5/19/2023,16.12,TEMECULA STAMPEDE 02TEMECULA            CA,Restaurant-Restaurant,,,
5/19/2023,21.61,TEMECULA STAMPEDE 02TEMECULA            CA,Restaurant-Restaurant,,,
5/19/2023,7.86,Uber Trip           help.uber.com       CA,Transportation-Taxis & Coach,,,
5/19/2023,14.85,Uber Trip           help.uber.com       CA,Transportation-Taxis & Coach,,,
5/18/2023,-306.75,AUTOPAY PAYMENT - THANK YOU,,,,
5/18/2023,15,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
5/18/2023,18.16,IN N OUT BURGER 054 LAKE ELSINORE       CA,Restaurant-Bar & Café,,,
5/18/2023,11.58,PANDA EXPRESS #1903 FULLERTON           CA,Restaurant-Bar & Café,,,
5/18/2023,20,TEMECULA STAMPEDE 02TEMECULA            CA,Restaurant-Restaurant,,,
5/18/2023,23.57,TUSCANY LIQUOR 0709 LAKE ELSINORE       CA,Merchandise & Supplies-Groceries,,,
5/18/2023,38.06,WHAT S UP MEN       FULLERTON           CA,Restaurant-Restaurant,,,
5/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
5/16/2023,8.45,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
5/16/2023,8.62,PANDA EXPRESS #1903 FULLERTON           CA,Restaurant-Bar & Café,,,
5/15/2023,5.39,AplPay CSUF TITAN SHFULLERTON           CA,Other-Miscellaneous,,,
5/12/2023,19,AplPay PADDLE.NET* SASTORIA             NY,Merchandise & Supplies-Internet Purchase,,,
5/11/2023,14.73,TACO BELL           FULLERTON           CA,Restaurant-Bar & Café,,,
5/10/2023,10.75,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
5/10/2023,5,KP RX01073 0029     ANAHEIM             CA,Merchandise & Supplies-Pharmacies,,,
5/9/2023,16.2,AplPay IN N OUT BURGPLACENTIA           CA,Restaurant-Bar & Café,,,
5/8/2023,50.18,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
5/7/2023,35.99,BLAZE PIZZA ORANGE 0ORANGE              CA,Restaurant-Bar & Café,,,
5/7/2023,26.46,SALT N PEPPER TRUCK Mission Viejo       CA,Restaurant-Bar & Café,,,
5/5/2023,10.48,ARCO #42225 AMPM ARCFONTANA             CA,Transportation-Fuel,,,
5/5/2023,15,AplPay EB *ASI SPRINSAN FRANCISCO       CA,Entertainment-General Events,,,
5/5/2023,11.73,CHICK-FIL-A #03997 0RIALTO              CA,Restaurant-Bar & Café,,,
5/5/2023,106.85,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,,,
5/2/2023,10.91,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,,,
4/23/2023,12,POINT.ME            NEW YORK            NY,Travel-Lodging,,,
4/21/2023,17.24,AplPay TST* BUNDOO KFULLERTON           CA,Other-Miscellaneous,,,
4/21/2023,31.29,BOARD AND BREW ANAHEANAHEIM             CA,Restaurant-Bar & Café,,,
4/21/2023,9.45,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
4/19/2023,10.75,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
4/18/2023,-1711.56,AUTOPAY PAYMENT - THANK YOU,,,,
4/17/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
4/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
4/17/2023,6.67,DEL TACO            ANAHEIM             CA,Restaurant-Bar & Café,,,
4/16/2023,18.05,AplPay IN N OUT BURGSAN BERNARDINO      CA,Restaurant-Bar & Café,,,
4/14/2023,25.03,AplPay SUBWAY       SAN DIMAS           CA,Restaurant-Bar & Café,,,
4/13/2023,10.6,AplPay IN N OUT BURGPLACENTIA           CA,Restaurant-Bar & Café,,,
4/12/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
4/12/2023,10.75,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
4/12/2023,5.45,TRADER JOE S #113 00SANTA ANA           CA,Merchandise & Supplies-Groceries,,,
4/11/2023,5.39,CSUF TITAN SHOPS 021FULLERTON           CA,Other-Miscellaneous,,,
4/10/2023,50.18,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
4/9/2023,15.65,AplPay CHEBA HUT - RRIVERSIDE           CA,Restaurant-Restaurant,,,
4/8/2023,8.78,AplPay PANERA BREAD RIVERSIDE           CA,Restaurant-Bar & Café,,,
4/7/2023,7.73,DEL TACO            HIGHLAND            CA,Restaurant-Bar & Café,,,
4/4/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
4/4/2023,10.83,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,,,
4/3/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
4/3/2023,250,RENEWAL MEMBERSHIP FEE,Fees & Adjustments-Fees & Adjustments,,,
4/1/2023,4.08,7-ELEVEN 34221 00073ANAHEIM             CA,Merchandise & Supplies-Groceries,,,
4/1/2023,26.02,FOX CONCESSIONS     Pomona              CA,Restaurant-Bar & Café,,,
4/1/2023,13,"TST* LFA GROUP, LLC GARDEN GROVE        CA",Restaurant-Bar & Café,,,
3/31/2023,37.23,BAKERS - 160 0000000RIVERSIDE           CA,Restaurant-Bar & Café,,,
3/31/2023,38,PAYPAL *WWW AXS COM 8889297849          CA,Entertainment-General Events,,,
3/31/2023,13.48,TST* ROBEKS - 376 - FULLERTON           CA,Restaurant-Restaurant,,,
3/30/2023,22.5,AplPay SNOW VALLEY 0RUNNING SPRIN       CA,Entertainment-Other Entertainment,,,
3/28/2023,5,AplPay KP RX01073 00ANAHEIM             CA,Merchandise & Supplies-Pharmacies,,,
3/28/2023,7.05,MCDONALD'S F6535 000BISHOP              CA,Restaurant-Bar & Café,,,
3/27/2023,22,BWAY MARKETPLACE MAMMAMMOTH LAKES       CA,Travel-Lodging,,,
3/27/2023,42.21,SMART AND FINAL 380 BISHOP              CA,Merchandise & Supplies-Groceries,,,
3/27/2023,85.01,TST* WHISKEY CREEK 3BISHOP              CA,Other-Miscellaneous,,,
3/26/2023,24,JUNE MOUNTAIN FOOD 0JUNE LAKE           CA,Travel-Lodging,,,
3/26/2023,20.47,MANOR MARKET 0000000BISHOP              CA,Merchandise & Supplies-Groceries,,,
3/25/2023,24.76,AplPay CHICK-FIL-A #ONTARIO             CA,Restaurant-Bar & Café,,,
3/25/2023,7,FAST 5 XPRESS ONTARIONTARIO             CA,Business Services-Other Services,,,
3/25/2023,43.83,FORT INDEPENDENCE TRINDEPENDENCE        CA,Transportation-Fuel,,,
3/25/2023,34.76,RITE AID 05839 0583 BISHOP              CA,Merchandise & Supplies-Pharmacies,,,
3/24/2023,31.46,WALMART.COM 80096665BENTONVILLE         AR,Merchandise & Supplies-Internet Purchase,,,
3/23/2023,10.1,ALBERTSONS #0819 081FULLERTON           CA,Merchandise & Supplies-Groceries,,,
3/22/2023,8.25,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
3/22/2023,60,RECREATION.GOV 00000ALBUQUERQUE         NM,Other-Government Services,,,
3/21/2023,295.24,AplPay ADORAMA.COM  800-223-2500        NY,Merchandise & Supplies-Internet Purchase,,,
3/20/2023,14.67,SUBWAY              CANYON COUNTRY      CA,Restaurant-Bar & Café,,,
3/18/2023,-52.92,AUTOPAY PAYMENT - THANK YOU,,,,
3/17/2023,10.75,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
3/17/2023,20,CHATGPT SUBSCRIPTIONSAN FRANCISCO       CA,Merchandise & Supplies-Computer Supplies,,,
3/17/2023,320.65,MASTER CAR CARE     RIVERSIDE           CA,Other-Miscellaneous,,,
3/16/2023,3.35,AplPay CSUF EMPORI-YFULLERTON           CA,Other-Miscellaneous,,,
3/15/2023,15.39,AplPay WINGSTOP 1229FULLERTON           CA,Other-Miscellaneous,,,
3/13/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
3/12/2023,17.23,HARBOR FREIGHT TOOLSANAHEIM             CA,Merchandise & Supplies-Hardware Supplies,,,
3/12/2023,5,POINT.ME            NEW YORK            NY,Travel-Lodging,,,
3/11/2023,30.12,CARL'S JR 124 567000POMONA              CA,Restaurant-Restaurant,,,
3/10/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
3/10/2023,10.75,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
3/10/2023,16.59,SUBWAY              ANAHEIM             CA,Restaurant-Bar & Café,,,
3/9/2023,50.18,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
3/9/2023,0.39,STARBUCKS 19633 STARFULLERTON           CA,Other-Education,,,
3/8/2023,8,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
3/8/2023,43.04,TST* CALI TACOS - SASANTA ANA           CA,Restaurant-Restaurant,,,
3/6/2023,-10,AMEX Dining Credit,Restaurant-Restaurant,,,
3/4/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
3/3/2023,9.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
3/2/2023,10.83,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,,,
3/1/2023,14.57,AplPay IN N OUT BURGPLACENTIA           CA,Restaurant-Bar & Café,,,
3/1/2023,7.5,AplPay SEASIDE DONUTNEWPORT BEACH       CA,Merchandise & Supplies-Groceries,,,
3/1/2023,14.25,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
2/28/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
2/28/2023,3.35,CSUF EMPORI-YUM 0217FULLERTON           CA,Other-Miscellaneous,,,
2/27/2023,-29.99,APPLE.COM/BILL      INTERNET CHARGE     CA,Merchandise & Supplies-Internet Purchase,,,
2/26/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
2/26/2023,2.91,AplPay THE UPS STOREANAHEIM             CA,Business Services-Office Supplies,,,
2/26/2023,-500.62,MOBILE PAYMENT - THANK YOU,,,,
2/24/2023,29.99,APPLE.COM/BILL      INTERNET CHARGE     CA,Merchandise & Supplies-Internet Purchase,,,
2/24/2023,10,KAISER 0809361 0033 SANTA ANA           CA,Business Services-Health Care Services,,,
2/23/2023,8.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
2/22/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
2/22/2023,9.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
2/22/2023,49.34,WINGSTOP 1229 OLO 00FULLERTON           CA,Other-Miscellaneous,,,
2/20/2023,29.95,LEROY'S BOARD SHOP-RRUNNING SPGS        CA,Merchandise & Supplies-Sporting Goods Stores,,,
2/20/2023,11.82,SAM'S CLUB 6624 6624SAN BERNARDINO      CA,Merchandise & Supplies-Wholesale Stores,,,
2/20/2023,8.48,SPEEDWAY            1-800-643-1948      OH,Transportation-Fuel,,,
2/19/2023,11.01,RAISING CANE'S 189 1COSTA MESA          CA,Restaurant-Bar & Café,,,
2/19/2023,57.98,SPEEDWAY            1-800-643-1949      OH,Transportation-Fuel,,,
2/18/2023,-974.51,AUTOPAY PAYMENT - THANK YOU,,,,
2/17/2023,9.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
2/16/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
2/14/2023,6.45,TRADER JOE'S #046  QORANGE              CA,Merchandise & Supplies-Groceries,,,
2/13/2023,22.19,PY *GURU'S PROVO AIRPROVO               UT,Restaurant-Restaurant,,,
2/12/2023,6.09,PP*DUTCHBROSLL      GRANTS PASS         OR,Restaurant-Bar & Café,,,
2/12/2023,6,THE WASH BARN       LEHI                UT,Business Services-Other Services,,,
2/10/2023,4.5,BREEZE AIRWAYS ONBOAIRVING              TX,Restaurant-Restaurant,,,
2/9/2023,11.58,AplPay PANDA EXPRESSFULLERTON           CA,Restaurant-Bar & Café,,,
2/8/2023,50.3,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
2/7/2023,-0.5,AMEX Dining Credit,Restaurant-Restaurant,,,
2/7/2023,53.85,AplPay BT*K&N ENGINERIVERSIDE           CA,Transportation-Auto Services,,,
2/7/2023,4.79,CSUF EMPORI-YUM 0217FULLERTON           CA,Other-Miscellaneous,,,
2/5/2023,-9.5,AMEX Dining Credit,Restaurant-Restaurant,,,
2/4/2023,31.99,EUCLID CAR WASH 9658ANAHEIM             CA,Business Services-Other Services,,,
2/4/2023,15.43,TST* HIGH HORSE SALOFULLERTON           CA,Restaurant-Restaurant,,,
2/3/2023,5.93,AplPay IN N OUT BURGPLACENTIA           CA,Restaurant-Bar & Café,,,
2/3/2023,9.89,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
2/3/2023,14,HOPSCOTCH TAVERN    FULLERTON           CA,Restaurant-Bar & Café,,,
2/3/2023,27.38,LA PIZZA LOCA #30 31ANAHEIM             CA,Restaurant-Restaurant,,,
2/2/2023,7.17,ARCO #42122 ARCO4212FULLERTON           CA,Transportation-Fuel,,,
2/2/2023,10.83,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,,,
2/1/2023,9.5,BT*GRUBHUB CAMPUS DISAN FRANCISCO       CA,Restaurant-Restaurant,,,
2/1/2023,1.5,OC SUP COURT NAME SESANTA ANA           CA,Other-Government Services,,,
1/30/2023,10,AplPay STARBUCKS    800-782-7282        WA,Restaurant-Bar & Café,,,
1/27/2023,12.92,VONS #2374 2374     BIG BEAR LAKE       CA,Merchandise & Supplies-Groceries,,,
1/26/2023,39.95,PAYPAL *LYRYXLEARNI 4036706726          CA,Business Services-Internet Services,,,
1/25/2023,10.6,AplPay IN N OUT BURGPLACENTIA           CA,Restaurant-Bar & Café,,,
1/23/2023,8.62,AplPay PANDA EXPRESSFULLERTON           CA,Restaurant-Bar & Café,,,
1/22/2023,10.5,HOPSCOTCH TAVERN    FULLERTON           CA,Restaurant-Bar & Café,,,
1/22/2023,33.37,LITTLE CAESAR       ANAHEIM             CA,Restaurant-Bar & Café,,,
1/19/2023,17.14,SNOW SUMMIT FOOD & BBIG BEAR LAKE       CA,Restaurant-Restaurant,,,
1/19/2023,23.75,SNOW SUMMIT FOOD & BBIG BEAR LAKE       CA,Restaurant-Restaurant,,,
1/18/2023,-1528.12,AUTOPAY PAYMENT - THANK YOU,,,,
1/18/2023,27.76,BAKERSBURGERS 148 00RIVERSIDE           CA,Restaurant-Bar & Café,,,
1/17/2023,27.44,BAKERSBURGERS 148 00RIVERSIDE           CA,Restaurant-Bar & Café,,,
1/16/2023,1.83,UBER TRIP           SAN FRANCISCO       CA,Transportation-Taxis & Coach,,,
1/16/2023,92.39,UBER TRIP           SAN FRANCISCO       CA,Transportation-Taxis & Coach,,,
1/15/2023,19.33,AplPay LEGO SHOP AT (800)835-4386       CT,Merchandise & Supplies-Arts & Jewelry,,,
1/15/2023,19.62,MELT PIZZAS CONCON  CONCON,Restaurant-Bar & Café,,,
1/15/2023,11.4,UBER TRIP           SAN FRANCISCO       CA,Transportation-Taxis & Coach,,,
1/15/2023,12.92,UBER TRIP           SAN FRANCISCO       CA,Transportation-Taxis & Coach,,,
1/14/2023,7.36,EASY VALPARAISO     VALPARAISO,Merchandise & Supplies-Department Stores,,,
1/14/2023,1.41,JUMBO VALPARAISO    VALPARAISO,Merchandise & Supplies-Groceries,,,
1/14/2023,32.07,VIA DEL MAR LIMITADAValparaiso          CL,Restaurant-Bar & Café,,,
1/13/2023,4.3,AMOR PORTENO        VALPARAISO,Restaurant-Restaurant,,,
1/13/2023,25.07,UBER EATS           SAN FRANCISCO       CA,Restaurant-Restaurant,,,
1/12/2023,3.26,AMOR PORTENO        VALPARAISO,Restaurant-Restaurant,,,
1/12/2023,37.8,DIDI FOOD CL        SANTIAGO,Other-Miscellaneous,,,
1/12/2023,2.3,EXPRESS VALPARAISO  VALPARAISO,Merchandise & Supplies-Groceries,,,
1/11/2023,5.42,JUMBO VALPARAISO    VALPARAISO,Merchandise & Supplies-Groceries,,,
1/11/2023,14.87,SOCIEDAD GASTRONOMICValparaiso          CL,Restaurant-Bar & Café,,,
1/10/2023,18.6,C. VERDE AEROPUERTOSSANTIAGO,Merchandise & Supplies-Pharmacies,,,
1/10/2023,25.47,COMERCIAL LA PRIMERAMagallanes          CL,Other-Miscellaneous,,,
1/10/2023,2.65,RECORRIDO           SANTIAGO,Communications-Cable & Internet Comm,,,
1/10/2023,7.46,TURBUS WEB 2        SANTIAGO,Transportation-Taxis & Coach,,,
1/10/2023,15.14,UBER TRIP           SAN FRANCISCO       CA,Transportation-Taxis & Coach,,,
1/9/2023,50.3,AT&T   *PAYMENT     800-288-2020        FL,Communications-Cable & Internet Comm,,,
1/9/2023,11,PAYPAL *CORPORACION 4029357733          CH,Business Services-Internet Services,,,
1/8/2023,35,PAYPAL *CORPORACION 4029357733          CH,Business Services-Internet Services,,,
1/7/2023,23.64,COMERCIAL LA PRIMERAMagallanes          CL,Other-Miscellaneous,,,
1/7/2023,99.73,ESTANCIA RIO LOS CIEPUNTA ARENAS,Travel-Lodging,,,
1/7/2023,13.5,UBER TRIP           SAN FRANCISCO       CA,Transportation-Taxis & Coach,,,
1/7/2023,6.81,UNIMARC BORIES AUSTRPUNTA ARENAS,Merchandise & Supplies-Groceries,,,
1/6/2023,24.95,AMC ONLINE 9640     LEAWOOD             KS,Entertainment-Theatrical Events,,,
1/6/2023,4.82,EXPRESS PLAZA ITALIASANTIAGO,Merchandise & Supplies-Groceries,,,
1/6/2023,19.89,HOSTAL PROVIDENCIA  SANTIAGO,Travel-Lodging,,,
1/6/2023,1.31,UBER TRIP           SAN FRANCISCO       CA,Transportation-Taxis & Coach,,,
1/5/2023,5.48,EXPRESS PLAZA ITALIASANTIAGO,Merchandise & Supplies-Groceries,,,
1/4/2023,1.27,EKONO BELLAVISTA    SANTIAGO,Merchandise & Supplies-Groceries,,,
1/4/2023,10.81,NEW HORIZON         SANTIAGO,Restaurant-Restaurant,,,
1/4/2023,10.83,STATE FARM INSURANCEBLOOMINGTON         IL,Business Services-Insurance Services,,,
1/3/2023,14.97,DALAI LOMO PROVIDENCSANTIAGO,Restaurant-Bar & Café,,,
1/3/2023,6.76,EXPRESS PLAZA ITALIASANTIAGO,Merchandise & Supplies-Groceries,,,
1/3/2023,5.9,HOSTAL PROVIDENCIA  SANTIAGO,Travel-Lodging,,,
1/2/2023,23,AplPay AIRALO       SINGAPORE           SG,Business Services-Internet Services,,,
